                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7035,                 2.6424,                 1.3284,                0.01183,                0.54383,                0.25856,                0.17132,                 1.2429,                  3.151,                 1.0417,             0.00046412,             0.00046412,             0.00046412
                      2,                 1.3204,                 1.4449,                 1.0831,                0.95616,                0.19902,                0.32655,                0.21139,                 1.3166,                 2.4453,                 1.0634,             0.00093114,             0.00093114,             0.00093114
                      3,                 1.2764,                  1.282,                 1.0622,                0.47985,                0.43894,                0.45752,                0.28112,                 1.2789,                 1.6919,                 1.1023,              0.0013887,              0.0013887,              0.0013887
                      4,                 1.2297,                 1.1415,                 1.0411,                0.48814,                0.46989,                0.50551,                0.29713,                  1.318,                 1.4972,                 1.0773,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.2028,                 1.0537,                 1.0391,                0.53033,                 0.5884,                0.55257,                0.35493,                 1.1737,                 1.2351,                 1.0404,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.2032,                 0.9732,                 1.0245,                0.52291,                 0.4988,                0.56664,                0.34695,                 1.2589,                 1.2538,                 1.0726,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.1777,                0.94549,                 1.0227,                 0.8445,                0.57814,                0.66334,                0.43114,                 1.2148,                 1.0493,                 1.0527,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.1827,                0.91297,                 1.0236,                0.69879,                0.58834,                0.65941,                0.42189,                 1.2051,                 1.0251,                 1.0547,                0.00133,                0.00133,                0.00133
                      9,                 1.1638,                0.87089,                 1.0134,                 0.6814,                0.69406,                0.70421,                0.44911,                  1.162,                0.97545,                 1.0233,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.1818,                0.87535,                 1.0292,                0.81999,                0.63481,                0.69269,                0.44858,                 1.1523,                0.97362,                  1.034,              0.0013017,              0.0013017,              0.0013017
